模块,子模块,功能点,详细说明,优先级
1. 前台门户 (Storefront),基础架构,多语言/多币种,"支持英语、西语、俄语等切换；价格支持参考汇率展示（实际交易按美元结算）。",P0
1. 前台门户 (Storefront),基础架构,SEO 优化结构,"静态化页面 (SSG/ISR)，自定义 Meta 标签，Sitemap 自动生成，结构化数据（Schema markup）。",P0
1. 前台门户 (Storefront),商品展示,多级分类导航,"男鞋/女鞋/童鞋 -> 运动/休闲/正装。支持 Mega Menu 展示。",P0
1. 前台门户 (Storefront),商品展示,智能筛选,"按材质、季节、功能（防水/透气）、尺码范围、起订量筛选。",P1
1. 前台门户 (Storefront),商品展示,SKU 矩阵详情页,"重点：鞋服特有的颜色/尺码矩阵表格展示；360度产品图；尺码对照表（Size Chart）；面料细节放大镜。",P0
1. 前台门户 (Storefront),商品展示,阶梯价格/MOQ,"展示不同采购数量对应的参考价格区间（如：100-500件 $10, 500+件 $8）。",P0
1. 前台门户 (Storefront),商品展示,样册下载,PDF 产品目录下载（需留资或登录）。,P2
1. 前台门户 (Storefront),用户系统,企业注册/登录,"邮箱/领英登录。注册需填写公司名称、税号、主营业务类型（验证 B2B 身份）。",P0
1. 前台门户 (Storefront),用户系统,游客访问限制,可配置部分价格或详细参数仅登录可见（保护渠道商）。,P1
1. 前台门户 (Storefront),交易/询盘,批量询价车,"类似购物车，但用于“加入询价单”。支持 Excel 批量导入 SKU 进行询价。",P0
1. 前台门户 (Storefront),交易/询盘,快捷询盘,"商品详情页一键“Ask for Quote”，支持上传 Logo 或设计图（OEM/ODM需求）。",P0
2. 企业会员后台 (Buyer Center),企业管理,公司档案,"管理公司基本信息、收货地址簿、开票资料。",P0
2. 企业会员后台 (Buyer Center),企业管理,子账户权限 (RBAC),"重点：主账号（老板/采购总监）可创建子账号（采购员）。设置权限：仅浏览 / 可询价 / 可确认订单。",P1
2. 企业会员后台 (Buyer Center),企业管理,认证资料,上传营业执照、Reseller Permit 等资质文件。,P2
2. 企业会员后台 (Buyer Center),询盘管理,询价记录,查看历史询价单状态（处理中/已报价/已失效）。,P0
2. 企业会员后台 (Buyer Center),询盘管理,报价单中心,"查看平台回复的正式 Quoation (PDF)，支持在线确认报价转订单，或发起二次议价。",P0
2. 企业会员后台 (Buyer Center),询盘管理,在线沟通,"基于询价单的即时消息系统（类似工单），记录沟通历史。",P1
2. 企业会员后台 (Buyer Center),订单中心,订单跟踪,"查看订单状态（生产中/质检中/已发货）。集成物流 API (DHL/FedEx/海运) 追踪轨迹。",P0
2. 企业会员后台 (Buyer Center),订单中心,单证下载,"自助下载 PI (形式发票), CI (商业发票), PL (装箱单)。",P1
2. 企业会员后台 (Buyer Center),订单中心,返单功能,"""Re-order"" 一键基于历史订单重新下单。",P2
3. 平台管理后台 (Admin Panel),商品管理,SPU/SKU 管理,"处理复杂的鞋服变体（颜色 x 尺码）。支持批量上传/更新 Excel。",P0
3. 平台管理后台 (Admin Panel),商品管理,属性库管理,"统一管理尺码表、颜色库、材质库，避免数据冗余。",P1
3. 平台管理后台 (Admin Panel),商品管理,库存/货期管理,标记现货库存或生产 Lead Time（交货期）。,P1
3. 平台管理后台 (Admin Panel),询盘/订单,智能报价工具,"后台查看客户询价车，直接录入运费、阶梯价，生成标准 PDF 报价单发送给客户。",P0
3. 平台管理后台 (Admin Panel),询盘/订单,订单流转,"审核订单 -> 确认定金 -> 安排生产 -> 发货录入 -> 尾款确认。",P0
3. 平台管理后台 (Admin Panel),客户管理 (CRM),公海/私海池,将注册客户分配给不同的业务员跟进。,P1
3. 平台管理后台 (Admin Panel),客户管理 (CRM),客户画像,"记录客户来源、采购偏好、历史成交额，自动打标（如：高意向、大客户）。",P1
3. 平台管理后台 (Admin Panel),客户管理 (CRM),企业审核,审核前台注册的企业资质，通过后开放特定权限（如查看批发价）。,P0
3. 平台管理后台 (Admin Panel),系统设置,汇率管理,"手动或自动同步汇率接口，设定价格浮动比例。",P2
3. 平台管理后台 (Admin Panel),系统设置,运费模板,配置不同国家、不同重量段的估算运费（海运/空运）。,P2
